instance,seed,umm_m_ini,budgetMM,r_1,r_2,budget,eval_ranks,fitness
qap/kra30a.dat,4,10,10,0.4,0.99,400,0,111050.0
qap/kra30a.dat,5,10,10,0.4,0.99,400,0,116200.0
qap/kra30a.dat,6,10,10,0.4,0.99,400,0,112980.0
qap/kra30a.dat,7,10,10,0.4,0.99,400,0,115190.0
qap/kra30a.dat,8,10,10,0.4,0.99,400,0,114540.0
qap/kra30a.dat,9,10,10,0.4,0.99,400,0,119150.0
qap/kra30a.dat,10,10,10,0.5,0.6,400,0,116540.0
qap/kra30a.dat,1,10,10,0.5,0.6,400,0,123240.0
qap/kra30a.dat,2,10,10,0.5,0.6,400,0,122180.0
qap/kra30a.dat,3,10,10,0.5,0.6,400,0,116590.0
qap/kra30a.dat,4,10,10,0.5,0.6,400,0,122250.0
qap/kra30a.dat,5,10,10,0.5,0.6,400,0,125140.0
qap/kra30a.dat,6,10,10,0.5,0.6,400,0,122630.0
qap/kra30a.dat,7,10,10,0.5,0.6,400,0,121430.0
qap/kra30a.dat,8,10,10,0.5,0.6,400,0,122430.0
qap/kra30a.dat,9,10,10,0.5,0.6,400,0,120910.0
qap/kra30a.dat,10,10,10,0.5,0.7,400,0,119270.0
qap/kra30a.dat,1,10,10,0.5,0.7,400,0,125170.0
qap/kra30a.dat,2,10,10,0.5,0.7,400,0,123640.0
qap/kra30a.dat,3,10,10,0.5,0.7,400,0,117960.0
qap/kra30a.dat,4,10,10,0.5,0.7,400,0,122840.0
qap/kra30a.dat,5,10,10,0.5,0.7,400,0,120510.0
qap/kra30a.dat,6,10,10,0.5,0.7,400,0,114480.0
qap/kra30a.dat,7,10,10,0.5,0.7,400,0,122420.0
qap/kra30a.dat,8,10,10,0.5,0.7,400,0,119050.0
qap/kra30a.dat,9,10,10,0.5,0.7,400,0,121060.0
qap/kra30a.dat,10,10,10,0.5,0.8,400,0,119980.0
qap/kra30a.dat,1,10,10,0.5,0.8,400,0,122480.0
qap/kra30a.dat,2,10,10,0.5,0.8,400,0,121430.0
qap/kra30a.dat,3,10,10,0.5,0.8,400,0,114520.0
qap/kra30a.dat,4,10,10,0.5,0.8,400,0,120350.0
qap/kra30a.dat,5,10,10,0.5,0.8,400,0,121360.0
qap/kra30a.dat,6,10,10,0.5,0.8,400,0,118100.0
qap/kra30a.dat,7,10,10,0.5,0.8,400,0,117600.0
qap/kra30a.dat,8,10,10,0.5,0.8,400,0,110500.0
qap/kra30a.dat,9,10,10,0.5,0.8,400,0,115660.0
qap/kra30a.dat,10,10,10,0.5,0.9,400,0,115390.0
qap/kra30a.dat,1,10,10,0.5,0.9,400,0,121670.0
qap/kra30a.dat,2,10,10,0.5,0.9,400,0,119490.0
qap/kra30a.dat,3,10,10,0.5,0.9,400,0,114980.0
qap/kra30a.dat,4,10,10,0.5,0.9,400,0,114790.0
qap/kra30a.dat,5,10,10,0.5,0.9,400,0,115290.0
qap/kra30a.dat,6,10,10,0.5,0.9,400,0,119220.0
qap/kra30a.dat,7,10,10,0.5,0.9,400,0,114000.0
qap/kra30a.dat,8,10,10,0.5,0.9,400,0,117120.0
qap/kra30a.dat,9,10,10,0.5,0.9,400,0,122130.0
qap/kra30a.dat,10,10,10,0.5,0.99,400,0,119690.0
qap/kra30a.dat,1,10,10,0.5,0.99,400,0,119830.0
qap/kra30a.dat,2,10,10,0.5,0.99,400,0,113490.0
qap/kra30a.dat,3,10,10,0.5,0.99,400,0,113610.0
qap/kra30a.dat,4,10,10,0.5,0.99,400,0,115350.0
qap/kra30a.dat,5,10,10,0.5,0.99,400,0,117590.0
qap/kra30a.dat,6,10,10,0.5,0.99,400,0,116580.0
qap/kra30a.dat,7,10,10,0.5,0.99,400,0,110350.0
qap/kra30a.dat,8,10,10,0.5,0.99,400,0,113560.0
qap/kra30a.dat,9,10,10,0.5,0.99,400,0,115830.0
qap/kra30a.dat,10,10,10,0.1,0.7,400,0,112410.0
qap/kra30a.dat,1,10,10,0.1,0.7,400,0,115840.0
qap/kra30a.dat,2,10,10,0.1,0.7,400,0,110690.0
qap/kra30a.dat,3,10,10,0.1,0.7,400,0,121120.0
qap/kra30a.dat,4,10,10,0.1,0.7,400,0,114790.0
qap/kra30a.dat,5,10,10,0.1,0.7,400,0,120240.0
qap/kra30a.dat,6,10,10,0.1,0.7,400,0,116490.0
qap/kra30a.dat,7,10,10,0.1,0.7,400,0,113140.0
qap/kra30a.dat,8,10,10,0.1,0.7,400,0,117020.0
qap/kra30a.dat,9,10,10,0.1,0.7,400,0,106960.0
qap/kra30a.dat,10,10,10,0.1,0.8,400,0,114950.0
qap/kra30a.dat,1,10,10,0.1,0.8,400,0,119580.0
qap/kra30a.dat,2,10,10,0.1,0.8,400,0,109460.0
qap/kra30a.dat,3,10,10,0.1,0.8,400,0,113690.0
qap/kra30a.dat,4,10,10,0.1,0.8,400,0,111400.0
qap/kra30a.dat,5,10,10,0.1,0.8,400,0,116590.0
qap/kra30a.dat,6,10,10,0.1,0.8,400,0,112360.0
qap/kra30a.dat,7,10,10,0.1,0.8,400,0,116380.0
qap/kra30a.dat,8,10,10,0.1,0.8,400,0,116970.0
qap/kra30a.dat,9,10,10,0.1,0.8,400,0,114370.0
qap/kra30a.dat,10,10,10,0.1,0.9,400,0,112300.0
qap/kra30a.dat,1,10,10,0.1,0.9,400,0,112660.0
qap/kra30a.dat,2,10,10,0.1,0.9,400,0,123000.0
qap/kra30a.dat,3,10,10,0.1,0.9,400,0,118920.0
qap/kra30a.dat,4,10,10,0.1,0.9,400,0,113650.0
qap/kra30a.dat,5,10,10,0.1,0.9,400,0,114820.0
qap/kra30a.dat,6,10,10,0.1,0.9,400,0,118400.0
qap/kra30a.dat,7,10,10,0.1,0.9,400,0,115370.0
qap/kra30a.dat,8,10,10,0.1,0.9,400,0,116590.0
qap/kra30a.dat,9,10,10,0.1,0.9,400,0,114020.0
qap/kra30a.dat,10,10,10,0.1,0.99,400,0,113290.0
qap/kra30a.dat,1,10,10,0.1,0.99,400,0,114570.0
qap/kra30a.dat,2,10,10,0.1,0.99,400,0,113360.0
qap/kra30a.dat,3,10,10,0.1,0.99,400,0,119180.0
qap/kra30a.dat,4,10,10,0.1,0.99,400,0,117050.0
qap/kra30a.dat,5,10,10,0.1,0.99,400,0,115830.0
qap/kra30a.dat,6,10,10,0.1,0.99,400,0,119040.0
qap/kra30a.dat,7,10,10,0.1,0.99,400,0,114910.0
qap/kra30a.dat,8,10,10,0.1,0.99,400,0,116960.0
qap/kra30a.dat,9,10,10,0.1,0.99,400,0,120290.0
qap/kra30a.dat,10,10,10,0.2,0.6,400,0,116070.0
qap/kra30a.dat,1,10,10,0.2,0.6,400,0,118070.0
qap/kra30a.dat,2,10,10,0.2,0.6,400,0,122200.0
qap/kra30a.dat,3,10,10,0.2,0.6,400,0,114700.0
qap/kra30a.dat,4,10,10,0.2,0.6,400,0,119710.0
qap/kra30a.dat,5,10,10,0.2,0.6,400,0,118000.0
qap/kra30a.dat,6,10,10,0.2,0.6,400,0,113370.0
qap/kra30a.dat,7,10,10,0.2,0.6,400,0,114820.0
qap/kra30a.dat,8,10,10,0.2,0.6,400,0,119180.0
qap/kra30a.dat,9,10,10,0.2,0.6,400,0,111500.0
qap/kra30a.dat,10,10,10,0.2,0.7,400,0,121750.0
qap/kra30a.dat,1,10,10,0.2,0.7,400,0,109310.0
qap/kra30a.dat,2,10,10,0.2,0.7,400,0,120760.0
qap/kra30a.dat,3,10,10,0.2,0.7,400,0,112740.0
qap/kra30a.dat,4,10,10,0.2,0.7,400,0,120050.0
qap/kra30a.dat,5,10,10,0.2,0.7,400,0,125140.0
qap/kra30a.dat,6,10,10,0.2,0.7,400,0,121680.0
qap/kra30a.dat,7,10,10,0.2,0.7,400,0,118410.0
qap/kra30a.dat,8,10,10,0.2,0.7,400,0,116300.0
qap/kra30a.dat,9,10,10,0.2,0.7,400,0,113080.0
qap/kra30a.dat,10,10,10,0.2,0.8,400,0,116730.0
qap/kra30a.dat,1,10,10,0.2,0.8,400,0,108950.0
