,filename,ratio,weight,seed,min
3009,N-t1d100.02,0.5,0.6,1,82531.0
3010,N-t1d100.01,0.4,0.7,7,82696.0
3011,N-t1d100.01,0.5,0.6,2,82701.0
3012,N-t1d100.02,0.5,0.9,3,82728.0
3013,N-t1d100.02,0.5,0.7,6,82728.0
3014,N-t1d100.02,0.5,0.7,3,82766.0
3015,N-t1d100.02,0.4,0.7,2,82850.0
3016,N-t1d100.02,0.5,0.7,0,82860.0
3017,N-t1d100.01,0.5,0.7,4,82955.0
3018,N-t1d100.02,0.3,0.6,6,82963.0
3019,N-t1d100.01,0.5,0.7,8,83005.0
3020,N-t1d100.02,0.4,0.6,4,83011.0
3021,N-t1d100.02,0.3,0.6,2,83049.0
3022,N-t1d100.01,0.5,0.7,7,83085.0
3023,N-t1d100.02,0.5,0.7,9,83113.0
3024,N-t1d100.02,0.4,0.6,2,83116.0
3025,N-t1d100.02,0.4,0.6,7,83136.0
3026,N-t1d100.02,0.4,0.6,8,83167.0
3027,N-t1d100.02,0.4,0.7,4,83199.0
3028,N-t1d100.02,0.4,0.6,3,83278.0
3029,N-t1d100.02,0.5,0.7,7,83300.0
3030,N-t1d100.01,0.5,0.6,6,83305.0
3031,N-t1d100.01,0.5,0.6,7,83322.0
3032,N-t1d100.02,0.5,0.6,4,83360.0
3033,N-t1d100.01,0.5,0.7,5,83383.0
3034,N-t1d100.02,0.4,0.7,7,83438.0
3035,N-t1d100.02,0.5,0.8,7,83458.0
3036,N-t1d100.01,0.5,0.6,8,83458.0
3037,N-t1d100.02,0.4,0.6,6,83535.0
3038,N-t1d100.02,0.5,0.6,3,83562.0
3039,N-t1d100.01,0.4,0.6,0,83587.0
3040,N-t1d100.01,0.5,0.6,9,83674.0
3041,N-t1d100.01,0.4,0.6,5,83772.0
3042,N-t1d100.01,0.5,0.6,3,83821.0
3043,N-t1d100.02,0.4,0.6,0,84027.0
3044,N-t1d100.02,0.5,0.6,7,84040.0
3045,N-t1d100.01,0.5,0.6,5,84513.0
3046,N-t1d100.01,0.4,0.6,7,84610.0
3047,N-t1d100.02,0.5,0.6,9,84807.0
3048,N-t1d100.02,0.5,0.6,2,84890.0
3049,N-t1d100.02,0.5,0.7,2,84919.0
3050,N-t1d100.01,0.5,0.6,0,84967.0
3051,kra32.dat,0.4,0.99,3,107670.0
3052,kra32.dat,0.4,0.99,4,107680.0
3053,kra32.dat,0.3,0.99,1,107990.0
3054,kra32.dat,0.1,0.99,8,108160.0
3055,kra32.dat,0.2,0.99,1,108850.0
3056,kra32.dat,0.5,0.99,7,109070.0
3057,kra32.dat,0.5,0.99,4,109130.0
3058,kra32.dat,0.3,0.99,8,109880.0
3059,kra32.dat,0.3,0.99,3,110030.0
3060,kra32.dat,0.1,0.99,1,110300.0
3061,kra32.dat,0.5,0.9,7,110930.0
3062,kra32.dat,0.3,0.99,4,111010.0
3063,kra32.dat,0.1,0.9,1,111110.0
3064,kra32.dat,0.1,0.9,4,111230.0
3065,kra32.dat,0.1,0.9,0,111400.0
3066,kra32.dat,0.5,0.9,0,111950.0
3067,kra32.dat,0.4,0.9,4,112040.0
3068,kra32.dat,0.2,0.8,4,112140.0
3069,kra32.dat,0.2,0.99,2,112190.0
3070,kra32.dat,0.5,0.99,6,112370.0
3071,kra32.dat,0.1,0.8,7,112460.0
3072,kra32.dat,0.2,0.9,9,112560.0
3073,kra32.dat,0.1,0.6,7,112620.0
3074,kra32.dat,0.3,0.8,7,112630.0
3075,kra32.dat,0.2,0.9,0,112670.0
3076,kra32.dat,0.2,0.7,8,112780.0
3077,kra32.dat,0.1,0.9,6,113200.0
3078,kra32.dat,0.2,0.8,2,113200.0
3079,kra32.dat,0.2,0.6,7,113310.0
3080,kra32.dat,0.4,0.7,7,113320.0
3081,kra32.dat,0.3,0.99,5,113330.0
3082,kra32.dat,0.1,0.99,4,113520.0
3083,kra32.dat,0.1,0.7,3,113780.0
3084,kra32.dat,0.1,0.7,9,113790.0
3085,kra32.dat,0.1,0.8,0,113960.0
3086,kra32.dat,0.5,0.99,2,114070.0
3087,kra32.dat,0.1,0.7,1,114110.0
3088,kra32.dat,0.1,0.6,4,114110.0
3089,kra32.dat,0.4,0.8,4,114180.0
3090,kra32.dat,0.5,0.99,0,114700.0
3091,kra32.dat,0.3,0.7,7,114750.0
3092,kra32.dat,0.2,0.99,8,115330.0
3093,kra32.dat,0.3,0.9,6,115370.0
3094,kra32.dat,0.2,0.8,7,115380.0
3095,kra32.dat,0.2,0.7,7,115470.0
3096,kra32.dat,0.2,0.99,9,115540.0
3097,kra32.dat,0.2,0.6,4,115660.0
3098,kra32.dat,0.1,0.99,9,115660.0
3099,kra32.dat,0.3,0.6,3,115760.0
3100,kra32.dat,0.2,0.8,3,115850.0
3101,kra32.dat,0.2,0.99,0,115950.0
3102,kra32.dat,0.3,0.8,4,115960.0
3103,kra32.dat,0.4,0.9,7,115970.0
3104,kra32.dat,0.1,0.9,7,116000.0
3105,kra32.dat,0.2,0.9,1,116060.0
3106,kra32.dat,0.2,0.9,8,116110.0
3107,kra32.dat,0.1,0.8,8,116140.0
3108,kra32.dat,0.3,0.9,7,116150.0
3109,kra32.dat,0.3,0.8,9,116170.0
3110,kra32.dat,0.4,0.9,0,116210.0
3111,kra32.dat,0.3,0.7,6,116270.0
3112,kra32.dat,0.1,0.6,3,116330.0
3113,kra32.dat,0.4,0.9,3,116350.0
3114,kra32.dat,0.1,0.9,5,116400.0
3115,kra32.dat,0.1,0.99,3,116440.0
3116,kra32.dat,0.1,0.8,4,116500.0
3117,kra32.dat,0.1,0.8,5,116530.0
3118,kra32.dat,0.3,0.9,2,116540.0
3119,kra32.dat,0.1,0.8,2,116550.0
3120,kra32.dat,0.3,0.7,4,116550.0
3121,kra32.dat,0.5,0.9,5,116580.0
